0.01,-0.542725,0.003906,-0.554443,16.571045,-46.142574,-25.787352
0.02,-0.457275,0.025391,-0.375732,26.885984,-41.931149,-53.070065
0.03,-0.339844,0.060547,-0.208252,32.043457,-35.949707,-69.122314
0.04,-0.537842,-0.011475,-0.09375,48.492428,-31.311033,-74.157715
0.05,-0.986328,-0.162842,-0.378906,51.452633,-34.881592,-70.007324
0.06,-1.141602,-0.295166,-0.584473,41.839596,-36.743164,-61.889645
0.07,-1.04834,-0.424072,-0.639893,33.508301,-18.585205,-53.771969
0.08,-0.993164,-0.462158,-0.669434,26.580809,15.045165,-42.785641
0.09,-0.752686,-0.418945,-0.435791,31.829832,32.37915,-35.308838
0.1,-0.571533,-0.415527,-0.411865,41.076656,47.119137,-37.04834
0.11,-0.525635,-0.424805,-0.529297,49.652096,55.450436,-43.731686
0.12,-0.499756,-0.466309,-0.474854,52.276608,53.314205,-51.330563
0.13,-0.551025,-0.464844,-0.544678,43.30444,41.442867,-57.28149
0.14,-0.531982,-0.442139,-0.633545,31.463621,21.087645,-58.654781
0.15,-0.506348,-0.409668,-0.682861,21.636961,0.610352,-57.220455
0.16,-0.537598,-0.403809,-0.69165,18.4021,-13.549804,-55.969234
0.17,-0.619629,-0.420654,-0.67749,18.310547,-17.059326,-56.304928
0.18,-0.681152,-0.432617,-0.64917,18.64624,-13.732909,-58.04443
0.19,-0.749512,-0.428955,-0.623535,21.667479,-9.246826,-59.783932
0.2,-0.800293,-0.453857,-0.625732,28.594969,-4.150391,-60.729977
0.21,-0.815918,-0.498779,-0.620361,34.454346,2.410889,-58.197018
0.22,-0.823242,-0.56958,-0.59082,36.773682,10.009766,-52.398678
0.23,-0.81665,-0.633545,-0.582275,31.951902,17.700195,-45.684811
0.24,-0.755371,-0.661377,-0.623779,20.111082,23.071287,-38.513184
0.25,-0.666992,-0.642334,-0.669678,8.392334,25.329588,-30.09033
0.26,-0.619141,-0.637695,-0.680176,2.563476,23.559568,-19.622803
0.27,-0.660645,-0.641846,-0.726807,-1.861572,19.256592,-6.286621
0.28,-0.702393,-0.650879,-0.719727,-3.265381,15.502929,9.796143
0.29,-0.689941,-0.657471,-0.613281,-5.065917,15.624999,24.566648
0.3,-0.689697,-0.642822,-0.561279,-9.246826,20.416258,35.583496
0.31,-0.683838,-0.684326,-0.609375,-13.09204,28.869627,43.30444
0.32,-0.683594,-0.696289,-0.650146,-23.590086,33.721924,56.396481
0.33,-0.686523,-0.671631,-0.576172,-34.057617,38.269043,68.939209
0.34,-0.804443,-0.636475,-0.635498,-53.680416,42.877193,76.873779
0.35,-0.91626,-0.537109,-0.760742,-73.699951,45.104977,82.611076
0.36,-0.866211,-0.436279,-0.788086,-81.756584,54.13818,82.794182
0.37,-0.820313,-0.346436,-0.763428,-82.702629,68.756104,82.18383
0.38,-0.843262,-0.328125,-0.756104,-76.385498,81.115715,83.221428
0.39,-0.878418,-0.34375,-0.752197,-67.626953,88.409416,84.625237
0.4,-0.980225,-0.394531,-0.785156,-60.333248,92.742912,87.829582
0.41,-1.041992,-0.432373,-0.826416,-59.570309,98.175041,90.454094
0.42,-0.966309,-0.430176,-0.87085,-65.307617,107.330315,89.691154
0.43,-0.765381,-0.448486,-0.964844,-70.343018,116.119377,82.214348
0.44,-0.554688,-0.450439,-1.017334,-73.394775,118.865959,67.962646
0.45,-0.359375,-0.419678,-0.920654,-70.678711,110.382072,50.781246
0.46,-0.27124,-0.392822,-0.856445,-67.749023,85.662834,32.25708
0.47,-0.179932,-0.40918,-0.872803,-65.032959,47.851559,14.038085
0.48,0.036621,-0.509521,-0.771484,-64.300537,23.986814,7.843017
0.49,0.120361,-0.540527,-0.718994,-72.113037,10.528563,18.035889
0.5,-0.023438,-0.483398,-0.673828,-79.711914,-10.345458,43.30444
0.51,-0.200439,-0.404297,-0.588867,-86.303703,-43.853756,74.035645
0.52,-0.243896,-0.295654,-0.49585,-98.632805,-74.005127,98.449699
0.53,-0.309326,-0.14624,-0.501221,-113.18969,-85.937492,116.08886
0.54,-0.445801,-0.034424,-0.55835,-119.079582,-88.714592,125.671379
0.55,-0.549561,0.055176,-0.592773,-119.171135,-89.813225,127.136223
0.56,-0.625488,0.113525,-0.593018,-116.729729,-86.639397,123.748772
0.57,-0.692139,0.156738,-0.614014,-112.823479,-80.535881,116.333
0.58,-0.717529,0.191406,-0.62793,-105.590813,-74.676514,104.003899
0.59,-0.706543,0.223877,-0.655518,-94.329826,-71.563721,88.073723
0.6,-0.654297,0.226318,-0.654297,-78.430176,-71.594238,72.509766
0.61,-0.594238,0.192383,-0.679932,-63.476559,-68.054199,61.523434
0.62,-0.560547,0.148438,-0.641113,-50.720211,-60.333248,55.969234
0.63,-0.615234,0.116455,-0.548096,-40.924068,-55.14526,53.649899
0.64,-0.627197,0.079834,-0.52417,-35.095215,-56.701656,51.48315
0.65,-0.560303,0.063477,-0.531494,-31.799314,-52.36816,49.560543
0.66,-0.564941,0.076172,-0.590576,-30.517576,-43.30444,49.34692
0.67,-0.669678,0.116455,-0.673584,-28.900145,-40.008545,48.767086
